epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.566378,0.703083,0.556669,0.703281,0.296719,4905,1508,2290,4097,0.730955,0.641459,0.683289
1,0.559288,0.70748,0.559462,0.703438,0.296562,4622,1791,2005,4382,0.709866,0.686081,0.697771
2,0.557135,0.707905,0.553659,0.704688,0.295312,4912,1501,2279,4108,0.732394,0.643181,0.684895
3,0.55576,0.708781,0.553773,0.706797,0.293203,4548,1865,1888,4499,0.706945,0.7044,0.70567
4,0.554987,0.709121,0.552946,0.706172,0.293828,4707,1706,2055,4332,0.717456,0.678253,0.697304
5,0.554566,0.709263,0.549976,0.709844,0.290156,4751,1662,2052,4335,0.722861,0.678722,0.700097
6,0.553382,0.710112,0.550313,0.707266,0.292734,4619,1794,1953,4434,0.711946,0.694223,0.702973
7,0.553485,0.710212,0.551253,0.707187,0.292813,4607,1806,1942,4445,0.711086,0.695945,0.703434
8,0.55299,0.710109,0.550298,0.704219,0.295781,4533,1880,1906,4481,0.704449,0.701581,0.703012
9,0.552535,0.710209,0.550212,0.707031,0.292969,4604,1809,1941,4446,0.710791,0.696101,0.70337
10,0.551926,0.710678,0.549851,0.707109,0.292891,4428,1985,1764,4623,0.699607,0.723814,0.711504
11,0.551964,0.710128,0.551899,0.707187,0.292813,4656,1757,1991,4396,0.714448,0.688273,0.701116
12,0.551954,0.71048,0.549239,0.705937,0.294063,4712,1701,2063,4324,0.717676,0.677,0.696745
13,0.551801,0.710904,0.551009,0.707109,0.292891,4709,1704,2045,4342,0.718161,0.679818,0.698464
14,0.551602,0.710957,0.549635,0.705313,0.294687,4551,1862,1910,4477,0.706263,0.700955,0.703599
15,0.551293,0.71118,0.550162,0.706562,0.293438,4618,1795,1961,4426,0.711461,0.69297,0.702094
