epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.69491,0.497188,0.693435,0.49125,0.50875,393,0,407,0,0.0,0.0,0.0
1,0.693362,0.504554,0.692889,0.52125,0.47875,105,288,95,312,0.52,0.766585,0.619662
2,0.693213,0.498973,0.693187,0.49125,0.50875,393,0,407,0,0.0,0.0,0.0
3,0.69316,0.502946,0.693136,0.50875,0.49125,0,393,0,407,0.50875,1.0,0.674399
4,0.693175,0.496741,0.693137,0.50875,0.49125,0,393,0,407,0.50875,1.0,0.674399
5,0.69317,0.498616,0.693101,0.50875,0.49125,0,393,0,407,0.50875,1.0,0.674399
6,0.693395,0.495312,0.693317,0.5,0.5,153,240,160,247,0.507187,0.60688,0.552573
7,0.693248,0.493036,0.693166,0.49125,0.50875,393,0,407,0,0.0,0.0,0.0
8,0.693166,0.497321,0.693141,0.50875,0.49125,0,393,0,407,0.50875,1.0,0.674399
9,0.693161,0.501295,0.693261,0.49125,0.50875,393,0,407,0,0.0,0.0,0.0
10,0.693237,0.501161,0.693246,0.49125,0.50875,393,0,407,0,0.0,0.0,0.0
11,0.693243,0.500134,0.693239,0.49125,0.50875,393,0,407,0,0.0,0.0,0.0
