epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.6918,0.517455,0.687224,0.55375,0.44625,693,102,612,193,0.654237,0.239752,0.350909
1,0.682967,0.546295,0.681146,0.540625,0.459375,623,172,563,242,0.584541,0.300621,0.397047
2,0.68011,0.553616,0.673108,0.5575,0.4425,311,484,224,581,0.54554,0.721739,0.62139
3,0.679454,0.553996,0.673723,0.563125,0.436875,370,425,274,531,0.555439,0.659627,0.603066
4,0.679311,0.555246,0.670173,0.561875,0.438125,316,479,222,583,0.548964,0.724224,0.624531
5,0.678168,0.556205,0.672339,0.56,0.44,278,517,187,618,0.544493,0.767702,0.637113
6,0.678332,0.555223,0.673299,0.555,0.445,450,345,367,438,0.559387,0.544099,0.551637
7,0.678523,0.557187,0.67294,0.556875,0.443125,400,395,314,491,0.554176,0.609938,0.580721
8,0.67738,0.556808,0.670338,0.565625,0.434375,344,451,244,561,0.554348,0.696894,0.617501
9,0.677798,0.553862,0.675988,0.555625,0.444375,202,593,118,687,0.536719,0.853416,0.658993
10,0.676925,0.556116,0.674003,0.56625,0.43375,233,562,132,673,0.544939,0.836025,0.659804
11,0.676745,0.560134,0.670582,0.559375,0.440625,279,516,189,616,0.54417,0.765217,0.636035
12,0.677096,0.558549,0.670653,0.563125,0.436875,268,527,172,633,0.54569,0.786335,0.644275
13,0.6762,0.558728,0.668713,0.565,0.435,268,527,169,636,0.546862,0.790062,0.646341
14,0.676098,0.560647,0.668345,0.573125,0.426875,292,503,180,625,0.554078,0.776398,0.646663
15,0.675024,0.560915,0.667333,0.566875,0.433125,294,501,192,613,0.550269,0.761491,0.638874
16,0.674466,0.55933,0.667536,0.559375,0.440625,313,482,223,582,0.546992,0.722981,0.622793
17,0.674389,0.561094,0.671861,0.555,0.445,333,462,250,555,0.545723,0.689441,0.609221
18,0.674875,0.562455,0.670865,0.560625,0.439375,332,463,240,565,0.549611,0.701863,0.616476
19,0.674731,0.564196,0.667078,0.556875,0.443125,345,450,259,546,0.548193,0.678261,0.60633
20,0.67348,0.562813,0.66705,0.563125,0.436875,344,451,248,557,0.552579,0.691925,0.614451
21,0.673274,0.562813,0.668842,0.57,0.43,307,488,200,605,0.553522,0.751553,0.637513
22,0.673579,0.563527,0.669694,0.560625,0.439375,374,421,282,523,0.554025,0.649689,0.598056
23,0.673621,0.563036,0.668804,0.56,0.44,280,515,189,616,0.544651,0.765217,0.636364
24,0.673061,0.563661,0.6707,0.559375,0.440625,382,413,292,513,0.553996,0.637267,0.592721
