experiment_id,attack,severity,params,image,psnr_attacked,ssim_attacked,blind_ber,blind_bit_accuracy,nonblind_ber,nonblind_bit_accuracy
robustness-20260918-025634-2cf93d,identity,0.0,{},0850,inf,1.0,0.25,0.75,0.03125,0.96875
robustness-20260918-025634-2cf93d,identity,0.0,{},0851,inf,1.0,0.15625,0.84375,0.0625,0.9375
robustness-20260918-025634-2cf93d,identity,0.0,{},0852,inf,1.0,0.3125,0.6875,0.046875,0.953125
robustness-20260918-025634-2cf93d,identity,0.0,{},0853,inf,1.0,0.234375,0.765625,0.0,1.0
robustness-20260918-025634-2cf93d,identity,0.0,{},0854,inf,1.0,0.25,0.75,0.125,0.875
robustness-20260918-025634-2cf93d,identity,0.0,{},0855,inf,1.0,0.28125,0.71875,0.0625,0.9375
robustness-20260918-025634-2cf93d,identity,0.0,{},0856,inf,1.0,0.328125,0.671875,0.21875,0.78125
robustness-20260918-025634-2cf93d,identity,0.0,{},0857,inf,1.0,0.25,0.75,0.015625,0.984375
robustness-20260918-025634-2cf93d,identity,0.0,{},0858,inf,1.0,0.265625,0.734375,0.015625,0.984375
robustness-20260918-025634-2cf93d,identity,0.0,{},0859,inf,1.0,0.28125,0.71875,0.078125,0.921875
robustness-20260918-025634-2cf93d,identity,0.0,{},0860,inf,1.0,0.296875,0.703125,0.078125,0.921875
robustness-20260918-025634-2cf93d,identity,0.0,{},0861,inf,1.0,0.328125,0.671875,0.09375,0.90625
robustness-20260918-025634-2cf93d,identity,0.0,{},0862,inf,1.0,0.21875,0.78125,0.09375,0.90625
robustness-20260918-025634-2cf93d,identity,0.0,{},0863,inf,1.0,0.21875,0.78125,0.125,0.875
robustness-20260918-025634-2cf93d,identity,0.0,{},0864,inf,1.0,0.203125,0.796875,0.078125,0.921875
robustness-20260918-025634-2cf93d,identity,0.0,{},0865,inf,1.0,0.234375,0.765625,0.03125,0.96875
robustness-20260918-025634-2cf93d,identity,0.0,{},0866,inf,1.0,0.1875,0.8125,0.078125,0.921875
robustness-20260918-025634-2cf93d,identity,0.0,{},0867,inf,1.0,0.28125,0.71875,0.09375,0.90625
robustness-20260918-025634-2cf93d,identity,0.0,{},0868,inf,1.0,0.359375,0.640625,0.09375,0.90625
robustness-20260918-025634-2cf93d,identity,0.0,{},0869,inf,1.0,0.21875,0.78125,0.078125,0.921875
robustness-20260918-025634-2cf93d,identity,0.0,{},0870,inf,1.0,0.203125,0.796875,0.09375,0.90625
robustness-20260918-025634-2cf93d,identity,0.0,{},0871,inf,1.0,0.21875,0.78125,0.0625,0.9375
robustness-20260918-025634-2cf93d,identity,0.0,{},0872,inf,1.0,0.265625,0.734375,0.09375,0.90625
robustness-20260918-025634-2cf93d,identity,0.0,{},0873,inf,1.0,0.296875,0.703125,0.046875,0.953125
robustness-20260918-025634-2cf93d,identity,0.0,{},0874,inf,1.0,0.15625,0.84375,0.125,0.875
robustness-20260918-025634-2cf93d,identity,0.0,{},0875,inf,1.0,0.21875,0.78125,0.0,1.0
robustness-20260918-025634-2cf93d,identity,0.0,{},0876,inf,1.0,0.3125,0.6875,0.078125,0.921875
robustness-20260918-025634-2cf93d,identity,0.0,{},0877,inf,1.0,0.171875,0.828125,0.125,0.875
robustness-20260918-025634-2cf93d,identity,0.0,{},0878,inf,1.0,0.21875,0.78125,0.125,0.875
robustness-20260918-025634-2cf93d,identity,0.0,{},0879,inf,1.0,0.296875,0.703125,0.0625,0.9375
robustness-20260918-025634-2cf93d,identity,0.0,{},0880,inf,1.0,0.1875,0.8125,0.078125,0.921875
robustness-20260918-025634-2cf93d,identity,0.0,{},0881,inf,1.0,0.21875,0.78125,0.0,1.0
robustness-20260918-025634-2cf93d,identity,0.0,{},0882,inf,1.0,0.265625,0.734375,0.046875,0.953125
robustness-20260918-025634-2cf93d,identity,0.0,{},0883,inf,1.0,0.171875,0.828125,0.0625,0.9375
robustness-20260918-025634-2cf93d,identity,0.0,{},0884,inf,1.0,0.203125,0.796875,0.046875,0.953125
robustness-20260918-025634-2cf93d,identity,0.0,{},0885,inf,1.0,0.265625,0.734375,0.125,0.875
robustness-20260918-025634-2cf93d,identity,0.0,{},0886,inf,1.0,0.296875,0.703125,0.03125,0.96875
robustness-20260918-025634-2cf93d,identity,0.0,{},0887,inf,1.0,0.1875,0.8125,0.09375,0.90625
robustness-20260918-025634-2cf93d,identity,0.0,{},0888,inf,1.0,0.1875,0.8125,0.03125,0.96875
robustness-20260918-025634-2cf93d,identity,0.0,{},0889,inf,1.0,0.15625,0.84375,0.03125,0.96875
robustness-20260918-025634-2cf93d,identity,0.0,{},0890,inf,1.0,0.1875,0.8125,0.0625,0.9375
robustness-20260918-025634-2cf93d,identity,0.0,{},0891,inf,1.0,0.21875,0.78125,0.046875,0.953125
robustness-20260918-025634-2cf93d,identity,0.0,{},0892,inf,1.0,0.25,0.75,0.046875,0.953125
robustness-20260918-025634-2cf93d,identity,0.0,{},0893,inf,1.0,0.21875,0.78125,0.0625,0.9375
robustness-20260918-025634-2cf93d,identity,0.0,{},0894,inf,1.0,0.171875,0.828125,0.125,0.875
robustness-20260918-025634-2cf93d,identity,0.0,{},0895,inf,1.0,0.296875,0.703125,0.125,0.875
robustness-20260918-025634-2cf93d,identity,0.0,{},0896,inf,1.0,0.25,0.75,0.109375,0.890625
robustness-20260918-025634-2cf93d,identity,0.0,{},0897,inf,1.0,0.171875,0.828125,0.078125,0.921875
robustness-20260918-025634-2cf93d,identity,0.0,{},0898,inf,1.0,0.328125,0.671875,0.03125,0.96875
robustness-20260918-025634-2cf93d,identity,0.0,{},0899,inf,1.0,0.3125,0.6875,0.15625,0.84375
robustness-20260918-025634-2cf93d,identity,0.0,{},0900,inf,1.0,0.28125,0.71875,0.015625,0.984375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0801,37.9759,0.987807,0.21875,0.78125,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0802,34.1177,0.940572,0.375,0.625,0.1875,0.8125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0803,33.6951,0.955324,0.3125,0.6875,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0804,31.2371,0.962841,0.265625,0.734375,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0805,38.5923,0.9835,0.25,0.75,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0806,36.9047,0.969841,0.25,0.75,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0807,32.0266,0.936798,0.21875,0.78125,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0808,36.6477,0.970036,0.21875,0.78125,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0809,37.1849,0.977266,0.296875,0.703125,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0810,39.8939,0.983897,0.28125,0.71875,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0811,36.3132,0.954268,0.25,0.75,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0812,39.2061,0.984488,0.328125,0.671875,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0813,34.42,0.972417,0.3125,0.6875,0.015625,0.984375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0814,38.4713,0.984718,0.375,0.625,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0815,34.2694,0.967858,0.21875,0.78125,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0816,40.5388,0.985156,0.296875,0.703125,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0817,30.0575,0.922635,0.203125,0.796875,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0818,34.784,0.973405,0.25,0.75,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0819,35.1345,0.968994,0.15625,0.84375,0.0,1.0
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0820,37.248,0.987391,0.265625,0.734375,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0821,31.562,0.966542,0.328125,0.671875,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0822,34.2775,0.969509,0.3125,0.6875,0.171875,0.828125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0823,36.0387,0.97653,0.265625,0.734375,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0824,37.6542,0.984051,0.25,0.75,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0825,34.1198,0.979,0.109375,0.890625,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0826,33.1132,0.964448,0.28125,0.71875,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0827,40.306,0.971442,0.21875,0.78125,0.171875,0.828125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0828,31.1146,0.942765,0.25,0.75,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0829,35.2507,0.956222,0.3125,0.6875,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0830,38.0865,0.975014,0.328125,0.671875,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0831,35.5191,0.972262,0.359375,0.640625,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0832,35.1726,0.975093,0.21875,0.78125,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0833,37.8973,0.985491,0.21875,0.78125,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0834,37.2356,0.977535,0.25,0.75,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0835,37.491,0.972076,0.25,0.75,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0836,32.6984,0.965303,0.265625,0.734375,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0837,34.0613,0.974977,0.15625,0.84375,0.125,0.875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0838,40.5312,0.977442,0.296875,0.703125,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0839,39.8395,0.986624,0.25,0.75,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0840,38.523,0.987261,0.25,0.75,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0841,37.4487,0.969701,0.25,0.75,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0842,40.6679,0.988364,0.359375,0.640625,0.0625,0.9375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0843,44.3906,0.996879,0.421875,0.578125,0.234375,0.765625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0844,38.488,0.967825,0.3125,0.6875,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0845,40.4814,0.990115,0.28125,0.71875,0.015625,0.984375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0846,40.7687,0.992274,0.265625,0.734375,0.015625,0.984375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0847,34.5875,0.980844,0.34375,0.65625,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0848,33.6305,0.96044,0.265625,0.734375,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0849,32.2588,0.979132,0.34375,0.65625,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0850,35.4032,0.974058,0.25,0.75,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0851,33.1808,0.962397,0.15625,0.84375,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0852,38.2557,0.942653,0.296875,0.703125,0.140625,0.859375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0853,33.3622,0.951818,0.28125,0.71875,0.015625,0.984375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0854,37.8,0.983512,0.265625,0.734375,0.140625,0.859375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0855,40.5884,0.983872,0.265625,0.734375,0.109375,0.890625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0856,30.5868,0.891789,0.28125,0.71875,0.265625,0.734375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0857,40.357,0.980788,0.265625,0.734375,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0858,35.3754,0.946017,0.25,0.75,0.03125,0.96875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0859,37.9083,0.981273,0.296875,0.703125,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0860,33.9714,0.977223,0.3125,0.6875,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0861,37.2245,0.975668,0.3125,0.6875,0.140625,0.859375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0862,41.889,0.981001,0.28125,0.71875,0.15625,0.84375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0863,37.7982,0.98148,0.28125,0.71875,0.125,0.875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0864,40.5127,0.988991,0.234375,0.765625,0.078125,0.921875
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0865,39.3159,0.985424,0.234375,0.765625,0.046875,0.953125
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0866,36.2203,0.982996,0.15625,0.84375,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0867,31.6605,0.959959,0.265625,0.734375,0.09375,0.90625
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0868,40.8879,0.993168,0.421875,0.578125,0.140625,0.859375
robustness-20260918-025634-2cf93d,jpeg_compress,95.0,"{""quality"": 95}",0869,39.6303,0.98711,0.21875,0.78125,0.125,0.875
