experiment_id,alpha,bits,subband_order,image,psnr,ssim,mse,nonblind_ber,nonblind_bit_accuracy,blind_ber,blind_bit_accuracy,blind_exact,t_embed_ms,t_nonblind_ms,t_blind_ms,model_version
matrix-20260918-025538-98a873,0.005,8,LL,0824,48.8351,0.998974,0.850301,0.0,1.0,0.625,0.375,0,2.15,3.32,2.56,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0825,47.9504,0.99924,1.042419,0.0,1.0,0.75,0.25,0,2.24,3.26,2.57,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0826,48.2629,0.99832,0.970047,0.0,1.0,0.5,0.5,0,2.12,3.23,2.63,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0827,52.957,0.997758,0.329142,0.0,1.0,0.75,0.25,0,2.16,3.28,2.59,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0828,52.989,0.999085,0.326721,0.0,1.0,0.625,0.375,0,2.22,3.32,2.61,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0829,48.8567,0.997596,0.84608,0.0,1.0,0.5,0.5,0,2.14,3.22,2.57,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0830,47.4419,0.997835,1.171906,0.0,1.0,0.625,0.375,0,2.17,3.26,2.6,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0831,49.8229,0.998968,0.677312,0.0,1.0,0.5,0.5,0,2.19,3.41,2.58,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0832,48.9741,0.998897,0.823512,0.0,1.0,0.5,0.5,0,2.18,3.28,2.57,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0833,47.6738,0.999434,1.110962,0.0,1.0,0.375,0.625,0,2.11,3.28,2.5,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
