epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.626672,0.634587,0.614633,0.635,0.365,1034,585,583,998,0.630449,0.631246,0.630847
1,0.616661,0.643181,0.615839,0.62875,0.37125,795,824,364,1217,0.596276,0.769766,0.672004
2,0.615434,0.64519,0.612493,0.641875,0.358125,1010,609,537,1044,0.631579,0.660342,0.64564
3,0.614378,0.645938,0.612709,0.640312,0.359688,974,645,506,1075,0.625,0.679949,0.651318
4,0.614133,0.646875,0.613079,0.639687,0.360313,933,686,467,1114,0.618889,0.704617,0.658977
5,0.612117,0.64721,0.613894,0.629375,0.370625,900,719,467,1114,0.607747,0.704617,0.652607
6,0.611818,0.647065,0.6093,0.647813,0.352187,1115,504,623,958,0.655267,0.605946,0.629642
7,0.610684,0.647121,0.612016,0.637813,0.362187,967,652,507,1074,0.622248,0.679317,0.649531
8,0.609753,0.646317,0.611009,0.648125,0.351875,1100,519,607,974,0.652378,0.616066,0.633702
9,0.610184,0.647232,0.609133,0.648125,0.351875,1109,510,616,965,0.654237,0.610373,0.631545
10,0.610377,0.646719,0.610464,0.640312,0.359688,1045,574,577,1004,0.636248,0.635041,0.635644
11,0.609966,0.648292,0.611316,0.64875,0.35125,1209,410,714,867,0.678935,0.548387,0.606718
12,0.609688,0.648058,0.609645,0.641563,0.358437,1012,607,540,1041,0.631675,0.658444,0.644782
13,0.608629,0.647243,0.60924,0.641563,0.358437,973,646,501,1080,0.625724,0.683112,0.65316
14,0.60864,0.649051,0.609061,0.642188,0.357812,1045,574,571,1010,0.637626,0.638836,0.638231
15,0.608506,0.648125,0.612208,0.636563,0.363437,932,687,476,1105,0.616629,0.698925,0.655203
16,0.607819,0.649665,0.611905,0.6375,0.3625,913,706,454,1127,0.614839,0.71284,0.660223
17,0.608268,0.647589,0.609458,0.644375,0.355625,1085,534,604,977,0.646592,0.617963,0.631953
18,0.608321,0.64846,0.609817,0.639687,0.360313,966,653,500,1081,0.623414,0.683744,0.652187
19,0.608027,0.650748,0.611529,0.637188,0.362812,922,697,464,1117,0.615766,0.706515,0.658027
20,0.608121,0.648315,0.613691,0.635,0.365,885,734,434,1147,0.609782,0.72549,0.662623
21,0.607753,0.649453,0.611174,0.642188,0.357812,981,638,507,1074,0.627336,0.679317,0.652293
