epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.694516,0.500446,0.693654,0.49125,0.50875,393,0,407,0,0.0,0.0,0.0
1,0.691261,0.524062,0.685305,0.5575,0.4425,291,102,252,155,0.603113,0.380835,0.466867
2,0.683335,0.558259,0.673854,0.58625,0.41375,232,161,170,237,0.595477,0.58231,0.58882
3,0.680683,0.559732,0.670812,0.565,0.435,274,119,229,178,0.599327,0.437346,0.505682
4,0.675579,0.567723,0.667358,0.55625,0.44375,325,68,287,120,0.638298,0.29484,0.403361
5,0.675941,0.562054,0.672942,0.56375,0.43625,327,66,283,124,0.652632,0.304668,0.41541
6,0.673283,0.568393,0.66093,0.565,0.435,309,84,264,143,0.629956,0.351351,0.451104
7,0.669907,0.570893,0.659185,0.57625,0.42375,276,117,222,185,0.612583,0.454545,0.521862
8,0.669922,0.573795,0.658333,0.57625,0.42375,267,126,213,194,0.60625,0.476658,0.5337
9,0.66995,0.572098,0.659693,0.57375,0.42625,301,92,249,158,0.632,0.388206,0.480974
10,0.668254,0.575491,0.66479,0.57,0.43,334,59,285,122,0.674033,0.299754,0.414966
11,0.668543,0.574286,0.661536,0.55125,0.44875,310,83,276,131,0.61215,0.321867,0.4219
12,0.667977,0.573839,0.657844,0.56625,0.43375,247,146,201,206,0.585227,0.506143,0.542819
