epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.664545,0.583839,0.650269,0.590313,0.409687,850,769,542,1039,0.574668,0.657179,0.61316
1,0.657399,0.593806,0.65073,0.597812,0.402188,1058,561,726,855,0.603814,0.540797,0.570571
2,0.655925,0.596228,0.649449,0.59125,0.40875,783,836,472,1109,0.57018,0.701455,0.629041
3,0.654819,0.596004,0.651135,0.595938,0.404062,902,717,576,1005,0.583624,0.635674,0.608538
4,0.654625,0.598549,0.649607,0.586562,0.413438,742,877,446,1135,0.564115,0.7179,0.631784
5,0.653496,0.596786,0.648855,0.595,0.405,764,855,441,1140,0.571429,0.721063,0.637584
6,0.652649,0.599844,0.64705,0.595313,0.404687,843,776,519,1062,0.577802,0.671727,0.621234
7,0.652267,0.59981,0.647707,0.591875,0.408125,815,804,502,1079,0.573022,0.682479,0.622979
8,0.651072,0.600112,0.648816,0.595,0.405,766,853,443,1138,0.571572,0.719798,0.637178
9,0.651805,0.599163,0.647212,0.595313,0.404687,942,677,618,963,0.587195,0.609108,0.597951
10,0.651245,0.600156,0.646915,0.591562,0.408438,918,701,606,975,0.581742,0.616698,0.59871
11,0.651106,0.600804,0.646842,0.595313,0.404687,870,749,546,1035,0.580157,0.654649,0.615156
