epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.652147,0.611434,0.647421,0.611641,0.388359,4597,1816,3155,3232,0.640254,0.506028,0.565282
1,0.647471,0.61385,0.646696,0.606719,0.393281,4158,2255,2779,3608,0.615385,0.564897,0.589061
2,0.64628,0.615385,0.647304,0.612109,0.387891,4678,1735,3230,3157,0.645339,0.494285,0.559801
3,0.645816,0.615575,0.64405,0.613594,0.386406,4302,2111,2835,3552,0.627229,0.55613,0.589544
4,0.645273,0.616013,0.646156,0.613125,0.386875,4351,2062,2890,3497,0.62907,0.547518,0.585468
5,0.645111,0.615896,0.642953,0.613516,0.386484,4404,2009,2938,3449,0.631916,0.540003,0.582355
6,0.644645,0.616518,0.643554,0.612891,0.387109,4056,2357,2598,3789,0.616499,0.593236,0.604644
7,0.644709,0.616518,0.64373,0.611953,0.388047,4163,2250,2717,3670,0.619932,0.574605,0.596409
8,0.644474,0.616861,0.643258,0.610625,0.389375,4190,2223,2761,3626,0.619935,0.567716,0.592677
9,0.644662,0.616992,0.642826,0.612187,0.387813,4235,2178,2786,3601,0.623118,0.563801,0.591978
10,0.644177,0.617266,0.642471,0.611094,0.388906,4171,2242,2736,3651,0.619549,0.57163,0.594625
11,0.644248,0.616364,0.643953,0.613359,0.386641,4294,2119,2830,3557,0.626674,0.556912,0.589737
12,0.644166,0.617246,0.64269,0.612266,0.387734,4401,2012,2951,3436,0.63069,0.537968,0.580651
13,0.644284,0.616359,0.642588,0.612109,0.387891,4195,2218,2747,3640,0.621372,0.569908,0.594528
