epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.526106,0.732506,0.505696,0.740469,0.259531,2544,646,1015,2195,0.772615,0.683801,0.7255
1,0.515802,0.739074,0.504639,0.744687,0.255313,2543,647,987,2223,0.774564,0.692523,0.73125
2,0.513614,0.740106,0.50074,0.745,0.255,2418,772,860,2350,0.752723,0.732087,0.742262
3,0.511545,0.741451,0.501096,0.745313,0.254687,2462,728,902,2308,0.760211,0.719003,0.739033
4,0.511316,0.741412,0.501928,0.743125,0.256875,2388,802,842,2368,0.747003,0.737695,0.74232
5,0.509608,0.742857,0.50089,0.745,0.255,2425,765,867,2343,0.753861,0.729907,0.74169
6,0.508553,0.742645,0.498387,0.748437,0.251563,2461,729,881,2329,0.761609,0.725545,0.74314
7,0.508631,0.743404,0.4968,0.746094,0.253906,2388,802,823,2387,0.748511,0.743614,0.746054
8,0.508099,0.74351,0.497238,0.74625,0.25375,2440,750,874,2336,0.756967,0.727726,0.742058
9,0.507473,0.743376,0.497262,0.745938,0.254062,2439,751,875,2335,0.756643,0.727414,0.741741
10,0.507142,0.743778,0.499258,0.747812,0.252188,2501,689,925,2285,0.768325,0.711838,0.739004
11,0.506768,0.744386,0.497286,0.745625,0.254375,2471,719,909,2301,0.761921,0.716822,0.738684
12,0.506788,0.744531,0.497879,0.747812,0.252188,2420,770,844,2366,0.754464,0.737072,0.745667
13,0.506161,0.744475,0.49919,0.747188,0.252812,2526,664,954,2256,0.772603,0.702804,0.736052
14,0.505188,0.744587,0.495427,0.745938,0.254062,2453,737,889,2321,0.758993,0.723053,0.740587
15,0.50546,0.74409,0.497358,0.744687,0.255313,2401,789,845,2365,0.749841,0.73676,0.743243
16,0.504978,0.744252,0.496755,0.747969,0.252031,2508,682,931,2279,0.769672,0.709969,0.738616
