epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.609913,0.661925,0.60142,0.657188,0.342812,4255,2158,2230,4157,0.658274,0.650853,0.654543
1,0.603899,0.666942,0.603927,0.654922,0.345078,3610,2803,1614,4773,0.630016,0.747299,0.683664
2,0.60166,0.667271,0.60091,0.658359,0.341641,4216,2197,2176,4211,0.657147,0.659308,0.658226
3,0.600381,0.667081,0.599646,0.658594,0.341406,3898,2515,1855,4532,0.643111,0.709566,0.674706
4,0.599424,0.668181,0.599745,0.658281,0.341719,4120,2293,2081,4306,0.652523,0.674182,0.663176
5,0.599237,0.668103,0.598008,0.660312,0.339688,4194,2219,2129,4258,0.657403,0.666667,0.662002
6,0.598229,0.668507,0.599485,0.65875,0.34125,4014,2399,1969,4418,0.648086,0.691718,0.669191
7,0.598674,0.668881,0.598195,0.659766,0.340234,4141,2272,2083,4304,0.654501,0.673869,0.664044
8,0.598268,0.668915,0.598413,0.658125,0.341875,3948,2465,1911,4476,0.644864,0.700798,0.671669
9,0.598061,0.66892,0.598079,0.6575,0.3425,3986,2427,1957,4430,0.646055,0.693596,0.668982
10,0.597696,0.670067,0.597515,0.66,0.34,4127,2286,2066,4321,0.654003,0.67653,0.665076
11,0.597936,0.669222,0.598136,0.659141,0.340859,3980,2433,1930,4457,0.64688,0.697824,0.671387
12,0.597669,0.669339,0.597989,0.658438,0.341562,4325,2088,2284,4103,0.662736,0.642399,0.652409
13,0.597518,0.669372,0.598093,0.660859,0.339141,4224,2189,2152,4235,0.659247,0.663066,0.661151
14,0.597624,0.669367,0.598076,0.657266,0.342734,3967,2446,1941,4446,0.645096,0.696101,0.669629
15,0.597406,0.66918,0.59769,0.660937,0.339063,3943,2470,1870,4517,0.646486,0.707218,0.67549
16,0.597379,0.669182,0.598113,0.658594,0.341406,3954,2459,1911,4476,0.645422,0.700798,0.671971
17,0.597441,0.669263,0.598133,0.659375,0.340625,3930,2483,1877,4510,0.644931,0.706122,0.674141
18,0.597358,0.669554,0.598106,0.658672,0.341328,4042,2371,1998,4389,0.64926,0.687177,0.667681
19,0.597133,0.669093,0.597645,0.659062,0.340938,4113,2300,2064,4323,0.652725,0.676844,0.664566
20,0.596858,0.670131,0.597293,0.657031,0.342969,4141,2272,2118,4269,0.652652,0.668389,0.660427
21,0.59697,0.669609,0.597599,0.657578,0.342422,4050,2363,2020,4367,0.648886,0.683733,0.665853
22,0.597068,0.669978,0.598456,0.657891,0.342109,4281,2132,2247,4140,0.660077,0.648192,0.65408
23,0.596889,0.669866,0.597441,0.660156,0.339844,4178,2235,2115,4272,0.656524,0.668859,0.662634
24,0.596747,0.66952,0.59739,0.661016,0.338984,4239,2174,2165,4222,0.6601,0.66103,0.660565
25,0.596757,0.669794,0.597614,0.658438,0.341562,4386,2027,2345,4042,0.666008,0.632848,0.649004
26,0.596486,0.670304,0.597582,0.662656,0.337344,4153,2260,2058,4329,0.657004,0.677783,0.667232
27,0.596952,0.669919,0.598893,0.659375,0.340625,3992,2421,1939,4448,0.647547,0.696415,0.671092
28,0.596182,0.669509,0.597488,0.658125,0.341875,3978,2435,1941,4446,0.646127,0.696101,0.670184
29,0.596416,0.670064,0.597577,0.658984,0.341016,4071,2342,2023,4364,0.650761,0.683263,0.666616
30,0.59646,0.670809,0.59688,0.659531,0.340469,4111,2302,2056,4331,0.652947,0.678096,0.665284
31,0.596477,0.669872,0.597184,0.659141,0.340859,4054,2359,2004,4383,0.650104,0.686238,0.667682
32,0.596746,0.669785,0.597239,0.658516,0.341484,3911,2502,1869,4518,0.64359,0.707374,0.673976
33,0.596195,0.669916,0.597403,0.657656,0.342344,4244,2169,2213,4174,0.658048,0.653515,0.655774
34,0.596319,0.670209,0.59767,0.658828,0.341172,4179,2234,2133,4254,0.655672,0.66604,0.660816
35,0.59656,0.670455,0.596703,0.658984,0.341016,4097,2316,2049,4338,0.651939,0.679192,0.665286
36,0.596126,0.670162,0.597556,0.657266,0.342734,4137,2276,2111,4276,0.652625,0.669485,0.660948
