epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.652775,0.601585,0.623265,0.626875,0.373125,513,282,315,490,0.634715,0.608696,0.621433
1,0.633422,0.624799,0.626002,0.62625,0.37375,643,152,446,359,0.702544,0.445963,0.545593
2,0.631242,0.624442,0.619912,0.621875,0.378125,555,240,365,440,0.647059,0.546584,0.592593
3,0.629706,0.626362,0.620182,0.63125,0.36875,572,223,367,438,0.662632,0.544099,0.597544
4,0.628199,0.627634,0.616631,0.62875,0.37125,452,343,251,554,0.617614,0.688199,0.650999
5,0.62655,0.629196,0.617025,0.625,0.375,469,326,274,531,0.619603,0.659627,0.638989
6,0.626438,0.628281,0.616441,0.624375,0.375625,493,302,299,506,0.626238,0.628571,0.627402
7,0.625066,0.6325,0.616156,0.6275,0.3725,432,363,233,572,0.611765,0.710559,0.657471
8,0.624009,0.631875,0.61791,0.624375,0.375625,500,295,306,499,0.628463,0.619876,0.62414
9,0.623403,0.631451,0.617978,0.620625,0.379375,367,428,179,626,0.593928,0.77764,0.67348
10,0.623355,0.631406,0.618002,0.64,0.36,455,340,236,569,0.625963,0.706832,0.663944
11,0.622361,0.632098,0.614297,0.6175,0.3825,484,311,301,504,0.618405,0.626087,0.622222
12,0.622787,0.629799,0.614079,0.630625,0.369375,444,351,240,565,0.616812,0.701863,0.656595
13,0.622976,0.629308,0.613857,0.63125,0.36875,569,226,364,441,0.661169,0.547826,0.599185
14,0.622314,0.634107,0.614116,0.63125,0.36875,526,269,321,484,0.642762,0.601242,0.621309
15,0.622654,0.633683,0.613414,0.626875,0.373125,542,253,344,461,0.645658,0.572671,0.606978
16,0.620509,0.634018,0.611676,0.633125,0.366875,544,251,336,469,0.651389,0.582609,0.615082
17,0.620356,0.63346,0.618284,0.62875,0.37125,557,238,356,449,0.653566,0.557764,0.601877
18,0.620379,0.635268,0.616509,0.624375,0.375625,493,302,299,506,0.626238,0.628571,0.627402
19,0.620353,0.634732,0.612195,0.623125,0.376875,436,359,244,561,0.609783,0.696894,0.650435
20,0.618984,0.631987,0.615109,0.625,0.375,544,251,349,456,0.644979,0.56646,0.603175
