epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.580942,0.686735,0.568698,0.688281,0.311719,2345,845,1150,2060,0.709122,0.641745,0.673753
1,0.573434,0.692271,0.568518,0.688438,0.311562,2442,748,1246,1964,0.724189,0.611838,0.663289
2,0.571885,0.693923,0.565602,0.690937,0.309063,2257,933,1045,2165,0.698838,0.674455,0.68643
3,0.569841,0.694475,0.565612,0.688125,0.311875,2347,843,1153,2057,0.70931,0.64081,0.673322
4,0.568764,0.69495,0.56633,0.687187,0.312813,2093,1097,905,2305,0.677543,0.718069,0.697217
5,0.567556,0.695904,0.567042,0.690156,0.309844,2209,981,1002,2208,0.69238,0.68785,0.690108
6,0.567311,0.696094,0.56525,0.691562,0.308438,2313,877,1097,2113,0.706689,0.658255,0.681613
7,0.567301,0.69644,0.564497,0.689844,0.310156,2186,1004,981,2229,0.689453,0.694393,0.691914
8,0.566381,0.697187,0.564237,0.690156,0.309844,2267,923,1060,2150,0.699642,0.669782,0.684386
9,0.565783,0.69745,0.563374,0.693906,0.306094,2271,919,1040,2170,0.702493,0.676012,0.688998
10,0.565841,0.696942,0.563767,0.694531,0.305469,2279,911,1044,2166,0.703932,0.674766,0.689041
11,0.565536,0.696931,0.563646,0.689531,0.310469,2259,931,1056,2154,0.698217,0.671028,0.684353
12,0.565349,0.697812,0.563857,0.691875,0.308125,2251,939,1033,2177,0.698652,0.678193,0.688271
13,0.565486,0.697288,0.564065,0.694844,0.305156,2299,891,1062,2148,0.706811,0.669159,0.68747
14,0.564769,0.698627,0.563188,0.6925,0.3075,2273,917,1051,2159,0.701886,0.672586,0.686923
15,0.564835,0.697232,0.564591,0.693906,0.306094,2290,900,1059,2151,0.705015,0.670093,0.687111
16,0.564396,0.697411,0.564435,0.690312,0.309688,2303,887,1095,2115,0.70453,0.658879,0.68094
17,0.564027,0.698158,0.564409,0.693281,0.306719,2207,983,980,2230,0.694055,0.694704,0.69438
18,0.563968,0.69846,0.564781,0.695469,0.304531,2288,902,1047,2163,0.70571,0.673832,0.689402
19,0.56417,0.697651,0.562826,0.690312,0.309688,2218,972,1010,2200,0.693569,0.685358,0.689439
20,0.564612,0.69808,0.563672,0.692813,0.307187,2286,904,1062,2148,0.703801,0.669159,0.686043
21,0.564536,0.697321,0.562404,0.693281,0.306719,2187,1003,960,2250,0.691669,0.700935,0.696271
22,0.56367,0.697879,0.564313,0.694844,0.305156,2302,888,1065,2145,0.707221,0.668224,0.68717
23,0.563747,0.698142,0.5623,0.689063,0.310937,2188,1002,988,2222,0.689206,0.692212,0.690706
24,0.563884,0.698477,0.563208,0.690625,0.309375,2135,1055,925,2285,0.684132,0.711838,0.69771
25,0.563946,0.69856,0.562645,0.689531,0.310469,2185,1005,982,2228,0.689143,0.694081,0.691603
26,0.563578,0.697645,0.563183,0.691562,0.308438,2326,864,1110,2100,0.708502,0.654206,0.680272
27,0.563762,0.698259,0.563938,0.689688,0.310312,2099,1091,895,2315,0.679683,0.721184,0.699819
28,0.563957,0.698806,0.563318,0.69,0.31,2276,914,1070,2140,0.70072,0.666667,0.683269
