epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.625593,0.637188,0.594377,0.659375,0.340625,504,291,254,551,0.654394,0.684472,0.669095
1,0.601994,0.658884,0.591713,0.67375,0.32625,596,199,323,482,0.707783,0.598758,0.648721
2,0.597714,0.662433,0.586882,0.67375,0.32625,598,197,325,480,0.70901,0.596273,0.647773
3,0.597134,0.660625,0.588302,0.66375,0.33625,566,229,309,496,0.684138,0.616149,0.648366
4,0.595726,0.663661,0.585615,0.67625,0.32375,586,209,309,496,0.703546,0.616149,0.656954
5,0.592942,0.666384,0.58622,0.665625,0.334375,558,237,298,507,0.681452,0.629814,0.654616
6,0.592755,0.66471,0.585354,0.66875,0.33125,625,170,360,445,0.723577,0.552795,0.626761
7,0.592192,0.667388,0.584636,0.66625,0.33375,541,254,280,525,0.673941,0.652174,0.662879
8,0.590661,0.664799,0.586532,0.67625,0.32375,624,171,347,458,0.72814,0.568944,0.638773
9,0.590275,0.66808,0.586377,0.658125,0.341875,418,377,170,635,0.62747,0.78882,0.698954
10,0.590999,0.665714,0.585905,0.67,0.33,524,271,257,548,0.669109,0.680745,0.674877
11,0.589064,0.665871,0.583851,0.656875,0.343125,505,290,259,546,0.65311,0.678261,0.665448
12,0.589731,0.665804,0.583783,0.665,0.335,555,240,296,509,0.679573,0.632298,0.655084
13,0.589156,0.666719,0.581754,0.66875,0.33125,583,212,318,487,0.69671,0.604969,0.647606
14,0.587276,0.667433,0.583415,0.671875,0.328125,477,318,207,598,0.652838,0.742857,0.694945
