epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.694597,0.501875,0.693483,0.49125,0.50875,393,0,407,0,0.0,0.0,0.0
1,0.693232,0.500179,0.693298,0.47375,0.52625,287,106,315,92,0.464646,0.226044,0.304132
2,0.693203,0.500313,0.693187,0.48875,0.51125,303,90,319,88,0.494382,0.216216,0.300855
3,0.693184,0.501205,0.693122,0.50875,0.49125,0,393,0,407,0.50875,1.0,0.674399
4,0.693164,0.495223,0.693192,0.49,0.51,390,3,405,2,0.4,0.004914,0.009709
5,0.692897,0.506205,0.69103,0.535,0.465,273,120,252,155,0.563636,0.380835,0.454545
6,0.691963,0.513125,0.688343,0.54375,0.45625,320,73,292,115,0.611702,0.282555,0.386555
7,0.690666,0.518705,0.686042,0.55,0.45,305,88,272,135,0.605381,0.331695,0.428571
8,0.690121,0.520938,0.683384,0.54625,0.45375,328,65,298,109,0.626437,0.267813,0.375215
9,0.688159,0.525625,0.683235,0.555,0.445,324,69,287,120,0.634921,0.29484,0.402685
10,0.687689,0.525357,0.681444,0.54625,0.45375,302,91,272,135,0.597345,0.331695,0.42654
11,0.685085,0.535179,0.680722,0.53125,0.46875,305,88,287,120,0.576923,0.29484,0.390244
12,0.68497,0.531964,0.677979,0.5425,0.4575,327,66,300,107,0.618497,0.262899,0.368966
13,0.685285,0.530536,0.679994,0.53875,0.46125,342,51,318,89,0.635714,0.218673,0.325411
14,0.684832,0.533795,0.67759,0.5375,0.4625,327,66,304,103,0.609467,0.253071,0.357639
15,0.683986,0.531071,0.681964,0.535,0.465,334,59,313,94,0.614379,0.230958,0.335714
16,0.684351,0.532188,0.676503,0.545,0.455,304,89,275,132,0.597285,0.324324,0.420382
17,0.685035,0.533438,0.676163,0.5425,0.4575,322,71,295,112,0.612022,0.275184,0.379661
18,0.683742,0.5375,0.677362,0.5425,0.4575,278,115,251,156,0.575646,0.383292,0.460177
19,0.683258,0.53375,0.675577,0.54625,0.45375,312,81,282,125,0.606796,0.307125,0.40783
