epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.499828,0.750887,0.473797,0.761719,0.238281,2560,630,895,2315,0.786078,0.721184,0.752234
1,0.488015,0.757935,0.472149,0.76625,0.23375,2576,614,882,2328,0.791298,0.725234,0.756827
2,0.48519,0.759431,0.467813,0.768594,0.231406,2516,674,807,2403,0.780955,0.748598,0.764435
3,0.482678,0.761451,0.469578,0.77,0.23,2535,655,817,2393,0.785105,0.745483,0.764781
4,0.481327,0.761468,0.468873,0.764219,0.235781,2396,794,715,2495,0.758589,0.777259,0.76781
5,0.479753,0.76308,0.466377,0.767188,0.232812,2468,722,768,2442,0.771808,0.760748,0.766238
6,0.478283,0.763398,0.463301,0.767031,0.232969,2511,679,812,2398,0.779331,0.74704,0.762844
7,0.478471,0.763544,0.464418,0.77,0.23,2442,748,724,2486,0.768707,0.774455,0.77157
8,0.477338,0.76476,0.464676,0.769687,0.230313,2496,694,780,2430,0.777849,0.757009,0.767288
9,0.476452,0.764838,0.462444,0.767969,0.232031,2440,750,735,2475,0.767442,0.771028,0.769231
10,0.475313,0.764593,0.465976,0.772969,0.227031,2506,684,769,2441,0.78112,0.760436,0.770639
11,0.475352,0.765273,0.462256,0.768906,0.231094,2525,665,814,2396,0.782751,0.746417,0.764152
12,0.474679,0.765123,0.465522,0.767813,0.232187,2519,671,815,2395,0.781148,0.746106,0.763225
13,0.47422,0.765519,0.463095,0.767656,0.232344,2437,753,734,2476,0.766801,0.77134,0.769064
14,0.474065,0.764989,0.462558,0.766094,0.233906,2454,736,761,2449,0.768917,0.762928,0.765911
15,0.474326,0.765279,0.462959,0.770625,0.229375,2361,829,639,2571,0.756176,0.800935,0.777912
16,0.473514,0.765904,0.463544,0.770312,0.229688,2574,616,854,2356,0.792732,0.733956,0.762213
17,0.473684,0.766155,0.463046,0.772813,0.227187,2470,720,734,2476,0.774718,0.77134,0.773025
18,0.473621,0.765073,0.465942,0.769219,0.230781,2545,645,832,2378,0.786636,0.74081,0.763035
19,0.473271,0.76543,0.462071,0.769062,0.230938,2494,696,782,2428,0.777209,0.756386,0.766656
20,0.473827,0.766027,0.464235,0.768594,0.231406,2416,774,707,2503,0.763808,0.779751,0.771697
