epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.677066,0.563795,0.66122,0.588125,0.411875,505,290,369,436,0.600551,0.541615,0.569562
1,0.66263,0.586228,0.656276,0.59125,0.40875,656,139,515,290,0.675991,0.360248,0.470016
2,0.660173,0.587455,0.651846,0.584375,0.415625,530,265,400,405,0.604478,0.503106,0.549153
3,0.659073,0.588348,0.652625,0.59375,0.40625,472,323,327,478,0.596754,0.593789,0.595268
4,0.658703,0.589353,0.648768,0.589375,0.410625,524,271,386,419,0.607246,0.520497,0.560535
5,0.657221,0.590804,0.65165,0.596875,0.403125,510,285,360,445,0.609589,0.552795,0.579805
6,0.657285,0.588504,0.648748,0.594375,0.405625,524,271,378,427,0.611748,0.530435,0.568197
7,0.657736,0.588728,0.649537,0.596875,0.403125,611,184,461,344,0.651515,0.427329,0.516129
8,0.65729,0.588594,0.650316,0.596875,0.403125,594,201,444,361,0.642349,0.448447,0.528164
9,0.655693,0.59308,0.651598,0.59375,0.40625,497,298,352,453,0.603196,0.562733,0.582262
10,0.656497,0.591897,0.652859,0.593125,0.406875,636,159,492,313,0.663136,0.38882,0.490211
11,0.654693,0.5925,0.648377,0.578125,0.421875,477,318,357,448,0.584856,0.556522,0.570337
12,0.654781,0.592746,0.647612,0.5925,0.4075,501,294,358,447,0.603239,0.55528,0.578266
13,0.654978,0.593013,0.647459,0.596875,0.403125,535,260,385,420,0.617647,0.521739,0.565657
14,0.653867,0.592031,0.647093,0.59625,0.40375,511,284,362,443,0.609354,0.550311,0.578329
15,0.654257,0.593817,0.64527,0.59,0.41,497,298,358,447,0.6,0.55528,0.576774
