epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.63971,0.625379,0.625136,0.640312,0.359688,2362,828,1474,1736,0.677067,0.54081,0.601316
1,0.633143,0.632852,0.62584,0.638906,0.361094,2312,878,1433,1777,0.669303,0.553583,0.605968
2,0.632299,0.63375,0.621947,0.636406,0.363594,2277,913,1414,1796,0.662975,0.559502,0.606859
3,0.630171,0.634927,0.622205,0.634844,0.365156,2228,962,1375,1835,0.65606,0.571651,0.610954
4,0.628903,0.635949,0.62326,0.634531,0.365469,1847,1343,996,2214,0.622435,0.68972,0.654352
5,0.62727,0.636875,0.621518,0.632188,0.367812,1975,1215,1139,2071,0.63025,0.645171,0.637623
6,0.627004,0.637009,0.621627,0.634687,0.365313,1819,1371,967,2243,0.620642,0.698754,0.657386
7,0.626497,0.637416,0.621286,0.638906,0.361094,2033,1157,1154,2056,0.6399,0.640498,0.640199
8,0.62573,0.637478,0.621919,0.634687,0.365313,1892,1298,1040,2170,0.625721,0.676012,0.649895
9,0.62505,0.638326,0.621198,0.638125,0.361875,1987,1203,1113,2097,0.635455,0.653271,0.64424
10,0.624935,0.637511,0.621282,0.636563,0.363437,1920,1270,1056,2154,0.629089,0.671028,0.649382
