epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.579694,0.683449,0.566965,0.685937,0.314063,1093,526,479,1102,0.676904,0.697027,0.686818
1,0.567576,0.69173,0.562145,0.693125,0.306875,1142,477,505,1076,0.692853,0.680582,0.686662
2,0.564923,0.694063,0.561827,0.690625,0.309375,1098,521,469,1112,0.680955,0.703352,0.691973
3,0.563921,0.694196,0.56217,0.689688,0.310312,1133,486,507,1074,0.688462,0.679317,0.683859
4,0.563164,0.696362,0.562391,0.692187,0.307813,1090,529,456,1125,0.680169,0.711575,0.695518
5,0.562099,0.695402,0.562402,0.685,0.315,1011,608,400,1181,0.660145,0.746996,0.70089
6,0.560282,0.696272,0.558678,0.691562,0.308438,1107,512,475,1106,0.68356,0.699557,0.691466
7,0.559583,0.696864,0.559616,0.689375,0.310625,1141,478,516,1065,0.690214,0.673624,0.681818
8,0.558958,0.69779,0.55894,0.69,0.31,1084,535,457,1124,0.677517,0.710942,0.693827
9,0.558852,0.69692,0.559101,0.690312,0.309688,1111,508,483,1098,0.683686,0.694497,0.689049
10,0.55819,0.697902,0.560965,0.684063,0.315937,1018,601,410,1171,0.660835,0.74067,0.698479
11,0.559112,0.6975,0.558469,0.691875,0.308125,1177,442,544,1037,0.701149,0.655914,0.677778
