epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.692071,0.521964,0.665315,0.60125,0.39875,221,172,147,260,0.601852,0.638821,0.619785
1,0.669948,0.579688,0.658813,0.57875,0.42125,334,59,278,129,0.68617,0.316953,0.433613
2,0.662091,0.587902,0.652778,0.5875,0.4125,175,218,112,295,0.575049,0.724816,0.641304
3,0.657397,0.590536,0.645184,0.60375,0.39625,286,107,210,197,0.648026,0.484029,0.554149
4,0.654365,0.593571,0.642695,0.615,0.385,260,133,175,232,0.635616,0.570025,0.601036
5,0.654578,0.590536,0.645496,0.57375,0.42625,313,80,261,146,0.646018,0.358722,0.461295
6,0.652662,0.592634,0.639241,0.5925,0.4075,275,118,208,199,0.62776,0.488943,0.549724
7,0.651761,0.591964,0.64006,0.58625,0.41375,311,82,249,158,0.658333,0.388206,0.488408
8,0.650491,0.593125,0.639082,0.60375,0.39625,272,121,196,211,0.635542,0.518428,0.571042
9,0.652349,0.597232,0.643517,0.605,0.395,249,144,172,235,0.620053,0.577396,0.597964
10,0.65184,0.591696,0.641509,0.60875,0.39125,301,92,221,186,0.669065,0.457002,0.543066
11,0.650777,0.591116,0.640003,0.61,0.39,287,106,206,201,0.654723,0.493857,0.563025
12,0.649854,0.593973,0.63725,0.59625,0.40375,191,202,121,286,0.586066,0.702703,0.639106
13,0.649546,0.600089,0.640194,0.5925,0.4075,179,214,112,295,0.579568,0.724816,0.644105
14,0.647909,0.599152,0.641908,0.6025,0.3975,266,127,191,216,0.629738,0.530713,0.576
