bit_index,accuracy,n
0,0.41,100
1,0.51,100
2,0.51,100
3,0.59,100
4,0.57,100
5,0.57,100
6,0.64,100
7,0.69,100
8,0.6,100
9,0.59,100
10,0.6,100
11,0.58,100
12,0.74,100
13,0.72,100
14,0.61,100
15,0.77,100
16,0.68,100
17,0.71,100
18,0.68,100
19,0.75,100
20,0.68,100
21,0.73,100
22,0.69,100
23,0.73,100
24,0.67,100
25,0.76,100
26,0.73,100
27,0.68,100
28,0.76,100
29,0.66,100
30,0.78,100
31,0.69,100
32,0.68,100
33,0.7,100
34,0.69,100
35,0.75,100
36,0.75,100
37,0.71,100
38,0.71,100
39,0.73,100
40,0.76,100
41,0.79,100
42,0.73,100
43,0.72,100
44,0.73,100
45,0.65,100
46,0.79,100
47,0.75,100
48,0.73,100
49,0.77,100
50,0.61,100
51,0.77,100
52,0.71,100
53,0.77,100
54,0.78,100
55,0.65,100
56,0.76,100
57,0.71,100
58,0.77,100
59,0.72,100
60,0.78,100
61,0.8,100
62,0.64,100
63,0.76,100
