bit_index,accuracy,n
0,0.43,100
1,0.51,100
2,0.55,100
3,0.63,100
4,0.66,100
5,0.67,100
6,0.68,100
7,0.72,100
8,0.69,100
9,0.67,100
10,0.76,100
11,0.67,100
12,0.8,100
13,0.8,100
14,0.68,100
15,0.88,100
16,0.72,100
17,0.83,100
18,0.74,100
19,0.8,100
20,0.75,100
21,0.79,100
22,0.75,100
23,0.8,100
24,0.81,100
25,0.81,100
26,0.85,100
27,0.76,100
28,0.86,100
29,0.76,100
30,0.87,100
31,0.75,100
32,0.84,100
33,0.79,100
34,0.78,100
35,0.86,100
36,0.77,100
37,0.83,100
38,0.82,100
39,0.82,100
40,0.78,100
41,0.84,100
42,0.81,100
43,0.78,100
44,0.81,100
45,0.75,100
46,0.84,100
47,0.8,100
48,0.74,100
49,0.77,100
50,0.71,100
51,0.81,100
52,0.83,100
53,0.79,100
54,0.76,100
55,0.8,100
56,0.79,100
57,0.76,100
58,0.79,100
59,0.76,100
60,0.74,100
61,0.84,100
62,0.81,100
63,0.85,100
