bit_index,accuracy,n
0,0.52,100
1,0.51,100
2,0.51,100
3,0.56,100
4,0.59,100
5,0.6,100
6,0.59,100
7,0.56,100
8,0.56,100
9,0.56,100
10,0.62,100
11,0.59,100
12,0.67,100
13,0.67,100
14,0.56,100
15,0.67,100
16,0.59,100
17,0.62,100
18,0.61,100
19,0.68,100
20,0.57,100
21,0.69,100
22,0.62,100
23,0.7,100
24,0.59,100
25,0.71,100
26,0.66,100
27,0.63,100
28,0.71,100
29,0.58,100
30,0.69,100
31,0.59,100
32,0.66,100
33,0.67,100
34,0.62,100
35,0.7,100
36,0.68,100
37,0.68,100
38,0.61,100
39,0.61,100
40,0.67,100
41,0.74,100
42,0.67,100
43,0.68,100
44,0.65,100
45,0.55,100
46,0.72,100
47,0.67,100
48,0.64,100
49,0.7,100
50,0.59,100
51,0.7,100
52,0.74,100
53,0.74,100
54,0.61,100
55,0.62,100
56,0.69,100
57,0.66,100
58,0.74,100
59,0.64,100
60,0.68,100
61,0.71,100
62,0.62,100
63,0.67,100
