bit_index,accuracy,n
0,0.41,100
1,0.51,100
2,0.53,100
3,0.6,100
4,0.62,100
5,0.64,100
6,0.6,100
7,0.7,100
8,0.65,100
9,0.6,100
10,0.71,100
11,0.64,100
12,0.78,100
13,0.75,100
14,0.65,100
15,0.8,100
16,0.7,100
17,0.77,100
18,0.72,100
19,0.82,100
20,0.73,100
21,0.81,100
22,0.7,100
23,0.78,100
24,0.72,100
25,0.79,100
26,0.82,100
27,0.74,100
28,0.84,100
29,0.72,100
30,0.8,100
31,0.72,100
32,0.79,100
33,0.77,100
34,0.71,100
35,0.79,100
36,0.8,100
37,0.78,100
38,0.78,100
39,0.78,100
40,0.79,100
41,0.85,100
42,0.8,100
43,0.82,100
44,0.79,100
45,0.68,100
46,0.84,100
47,0.8,100
48,0.75,100
49,0.75,100
50,0.65,100
51,0.77,100
52,0.78,100
53,0.84,100
54,0.82,100
55,0.74,100
56,0.72,100
57,0.69,100
58,0.78,100
59,0.74,100
60,0.75,100
61,0.81,100
62,0.73,100
63,0.83,100
64,0.77,100
65,0.84,100
66,0.77,100
67,0.8,100
68,0.79,100
69,0.79,100
70,0.75,100
71,0.77,100
72,0.8,100
73,0.77,100
74,0.75,100
75,0.72,100
76,0.79,100
77,0.73,100
78,0.83,100
79,0.79,100
80,0.76,100
81,0.77,100
82,0.74,100
83,0.77,100
84,0.77,100
85,0.71,100
86,0.71,100
87,0.65,100
88,0.72,100
89,0.72,100
90,0.72,100
91,0.68,100
92,0.71,100
93,0.76,100
94,0.76,100
95,0.79,100
96,0.75,100
97,0.72,100
98,0.64,100
99,0.7,100
100,0.65,100
101,0.64,100
102,0.61,100
103,0.71,100
104,0.56,100
105,0.68,100
106,0.64,100
107,0.68,100
108,0.69,100
109,0.64,100
110,0.63,100
111,0.61,100
112,0.66,100
113,0.68,100
114,0.55,100
115,0.47,100
116,0.54,100
117,0.54,100
118,0.59,100
119,0.54,100
120,0.49,100
121,0.6,100
122,0.54,100
123,0.58,100
124,0.53,100
125,0.45,100
126,0.44,100
127,0.58,100
