epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.544896,0.714163,0.532092,0.719375,0.280625,1036,583,315,1266,0.684694,0.800759,0.738192
1,0.530714,0.724643,0.523327,0.727812,0.272188,1193,426,445,1136,0.727273,0.718533,0.722876
2,0.528318,0.726652,0.521966,0.728125,0.271875,1167,452,418,1163,0.720124,0.73561,0.727785
3,0.526983,0.727801,0.523487,0.726875,0.273125,1207,412,462,1119,0.730895,0.70778,0.719152
4,0.525524,0.72798,0.523843,0.724688,0.275312,1102,517,364,1217,0.701845,0.769766,0.734238
5,0.524681,0.728806,0.520009,0.722187,0.277813,1134,485,404,1177,0.708183,0.744466,0.725871
6,0.523067,0.729643,0.518416,0.727187,0.272813,1167,452,421,1160,0.719603,0.733713,0.726589
7,0.52218,0.729442,0.519001,0.725625,0.274375,1140,479,399,1182,0.71162,0.747628,0.72918
8,0.521683,0.730324,0.519223,0.735938,0.264062,1168,451,394,1187,0.724664,0.750791,0.737496
9,0.520601,0.729297,0.518421,0.727187,0.272813,1195,424,449,1132,0.727506,0.716003,0.721709
10,0.520556,0.729788,0.52099,0.724063,0.275937,1087,532,351,1230,0.69807,0.777989,0.735866
11,0.520454,0.730201,0.518114,0.735938,0.264062,1257,362,483,1098,0.752055,0.694497,0.722131
12,0.519951,0.730413,0.517721,0.723125,0.276875,1133,486,400,1181,0.708458,0.746996,0.727217
13,0.519044,0.731228,0.517585,0.727187,0.272813,1125,494,379,1202,0.708726,0.760278,0.733598
14,0.518245,0.731261,0.520116,0.732187,0.267813,1214,405,452,1129,0.735984,0.714105,0.72488
15,0.518687,0.731205,0.517661,0.724063,0.275937,1120,499,384,1197,0.705778,0.757116,0.730546
16,0.517544,0.73096,0.517844,0.726875,0.273125,1129,490,384,1197,0.709544,0.757116,0.732558
17,0.517942,0.732031,0.515986,0.730625,0.269375,1186,433,429,1152,0.726814,0.728653,0.727732
18,0.518428,0.730446,0.51721,0.72625,0.27375,1146,473,403,1178,0.713507,0.745098,0.72896
